0100000000,General Manager Produksi Merangkap Kepala Unit Laut Bangka PT Timah (Persero) Tbk
0100000001,General Manager Wilayah Produksi Kepulauan Riau & Riau PT TIMAH (Persero) Tbk
0100000002,Kepala Keteknikan & Sarana Kepulauan Riau & Riau pada Wilayah Produksi Kepulauan Riau 
0100000003,Kepala Keteknikan & Sarana pada Wilayah Produksi Bangka Belitung PT TIMAH (Persero) Tbk
0100000004,Kepala Teknologi Informasi PT TIMAH (Persero) Tbk
0100000005,Kepala Perencanaan Operasi Produksi PT TIMAH (Persero) Tbk
0100000006,Kepala Pengolahan & Peleburan Kepulauan Riau & Riau pada Wilayah Produksi Kepulauan Riau & Riau PT TIMAH (Persero) Tbk
0100000007,Pj. Kepala Unit Penambangan Laut Kepulauan Riau & Riau pada Wilayah Produksi Kepulauan Riau & Riau PT TIMAH (Persero) Tbk
0100000008,Kepala Akuntansi PT TIMAH (Persero) Tbk
0100000009,Kepala Pengadaan & Pergudangan PT TIMAH (Persero) Tbk
0100000010,Kepala Sumber Daya Manusia PT TIMAH (Persero) Tbk
0100000011,Asisten Direksi Senior PT Timah (Persero) Tbk
0100000012,Advisor Direksi PT Timah (Persero) Tbk
0100000013,Pj.Kepala Administrasi & Keuangan PT Timah Eksplomin
0100000014,Pj. Kepala Corporate Social Responsibility
0100000015,Kepala Urusan Tata Usaha Produksi pada Bagian Geologi Tambang
0100000016,Kepala Teknologi Informasi PT TIMAH (Persero) Tbk
0100000017,Kepala Pengembangan Usaha PT TIMAH (Persero) Tbk
0100000018,Kepala PKBL & Administrasi Umum PT TIMAH (Persero) Tbk
0100000019,Asisten Yunior Direksi pada Direktorat Perencanaan & Pengembangan Usaha PT TIMAH (Persero) Tbk
